IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.7,100.0,4.8,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.21,69.6,12.9,Aktif,Menengah,P,Tidak,Tidak
3.19,80.5,9.9,Tidak Aktif,Rendah,P,Tidak,Tidak
,68.2,11.2,,Menengah,P,Tidak,Tidak
2.77,75.8,13.6,Tidak Aktif,Menengah,P,Ya,Tidak
3.27,100.0,9.6,Tidak Aktif,Menengah,P,Tidak,Tidak
3.2,85.2,10.0,Tidak Aktif,Tinggi,P,Tidak,Tidak
4.0,100.0,22.0,Tidak Aktif,Menengah,L,Ya,Tidak
2.55,81.1,0.0,Aktif,Menengah,P,Tidak,Tidak
2.73,93.2,10.4,Tidak Aktif,Tinggi,P,Tidak,Tidak
,89.0,8.7,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.45,,9.4,Aktif,Menengah,P,Tidak,Tidak
3.35,93.6,14.9,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.61,,9.2,Aktif,Menengah,P,Tidak,Tidak
2.92,94.3,6.8,Aktif,Menengah,L,Tidak,Tidak
3.26,96.1,16.1,Aktif,Menengah,P,Tidak,Tidak
2.85,84.4,8.9,Aktif,Rendah,P,Tidak,Tidak
2.74,88.3,11.1,Tidak Aktif,Rendah,L,Ya,Tidak
3.08,,9.4,Tidak Aktif,Menengah,L,Tidak,Tidak
3.03,88.9,9.5,Aktif,Tinggi,P,Tidak,Tidak
2.6,,10.3,Aktif,Tinggi,L,Tidak,Tidak
3.08,,,Aktif,Rendah,P,Tidak,Tidak
3.35,81.3,16.4,Tidak Aktif,Menengah,L,Tidak,Tidak
2.53,92.4,7.4,Tidak Aktif,Menengah,P,Tidak,Tidak
3.44,80.1,9.0,Aktif,Rendah,P,Tidak,Tidak
3.27,82.2,17.0,Tidak Aktif,Menengah,P,Tidak,Tidak
2.67,86.2,5.7,Tidak Aktif,Menengah,P,Tidak,Tidak
2.47,66.3,6.0,Tidak Aktif,Rendah,L,Ya,Tidak
3.09,67.3,15.5,Tidak Aktif,Menengah,P,Tidak,Tidak
3.69,73.0,19.3,Tidak Aktif,Menengah,P,Tidak,Tidak
2.0,100.0,5.2,Tidak Aktif,Menengah,L,Tidak,Tidak
3.93,80.6,,Tidak Aktif,Rendah,P,Tidak,Tidak
3.14,84.4,8.2,Aktif,Rendah,L,Tidak,Tidak
2.22,98.7,7.7,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.13,78.1,14.0,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.45,89.2,18.5,Tidak Aktif,Menengah,P,Tidak,Tidak
2.86,91.9,10.7,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.77,100.0,9.9,Aktif,Tinggi,L,Tidak,Tidak
3.26,91.1,7.8,Aktif,Rendah,P,Tidak,Tidak
3.41,77.4,13.6,Tidak Aktif,Tinggi,P,Ya,Tidak
3.15,93.1,9.9,Tidak Aktif,Rendah,P,Tidak,Tidak
2.8,82.0,9.4,,Menengah,P,Tidak,Tidak
2.96,90.2,10.3,Aktif,Rendah,L,Ya,Tidak
2.92,95.7,7.3,Tidak Aktif,Rendah,L,Tidak,Tidak
3.04,79.8,11.4,Tidak Aktif,Menengah,L,Tidak,Tidak
2.87,77.5,5.2,Tidak Aktif,Menengah,P,Tidak,Tidak
2.78,80.8,9.1,Tidak Aktif,Rendah,P,Tidak,Tidak
2.72,98.4,0.3,Aktif,Menengah,P,Tidak,Tidak
2.96,100.0,11.1,Aktif,Menengah,L,Tidak,Tidak
3.17,100.0,16.6,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.67,92.6,11.7,Aktif,Menengah,L,Ya,Tidak
3.18,55.9,11.8,Aktif,Tinggi,L,Tidak,Tidak
3.02,80.9,9.5,Aktif,Menengah,P,Tidak,Tidak
3.3,100.0,12.9,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.09,85.9,9.3,Tidak Aktif,Rendah,P,Tidak,Tidak
3.31,93.7,11.6,Tidak Aktif,Menengah,P,Tidak,Tidak
3.19,83.9,7.6,Tidak Aktif,Menengah,L,Tidak,Tidak
3.4,100.0,16.9,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.08,84.1,10.2,Tidak Aktif,Rendah,L,Tidak,Tidak
2.8,78.6,5.8,,Rendah,L,Tidak,Tidak
2.41,95.1,4.9,Tidak Aktif,Rendah,L,Tidak,Tidak
3.0,100.0,9.5,Aktif,Tinggi,L,Tidak,Tidak
2.63,79.7,7.0,Tidak Aktif,Rendah,L,Ya,Tidak
2.19,100.0,7.4,Tidak Aktif,Menengah,L,Tidak,Tidak
,100.0,9.5,Aktif,Menengah,P,Tidak,Tidak
3.43,79.5,15.7,Tidak Aktif,Rendah,P,Ya,Tidak
3.4,58.5,9.4,Aktif,Tinggi,L,Ya,Tidak
2.33,87.9,7.0,Tidak Aktif,Menengah,P,Ya,Tidak
2.81,94.1,8.7,Aktif,Tinggi,P,Tidak,Tidak
3.22,68.1,4.1,Tidak Aktif,Rendah,P,Tidak,Tidak
3.35,58.6,8.8,Tidak Aktif,Menengah,P,Ya,Tidak
2.46,94.0,7.4,Tidak Aktif,Rendah,P,Ya,Tidak
2.71,100.0,7.0,Aktif,Menengah,L,Tidak,Ya
3.08,73.0,8.6,Aktif,Menengah,P,Tidak,Tidak
2.7,79.1,7.1,Tidak Aktif,Menengah,P,Tidak,Tidak
2.81,78.8,11.9,Aktif,Menengah,P,Tidak,Tidak
3.34,75.7,19.9,Tidak Aktif,Rendah,P,Tidak,Tidak
2.67,74.0,11.9,Tidak Aktif,Rendah,P,Tidak,Tidak
2.6,83.1,13.1,Aktif,Tinggi,L,Tidak,Tidak
2.91,85.9,3.6,Tidak Aktif,Menengah,L,Tidak,Tidak
3.46,76.6,8.4,Aktif,Rendah,P,Tidak,Tidak
2.99,87.8,7.6,Aktif,Rendah,L,Tidak,Tidak
3.1,63.3,11.3,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.0,,6.7,Aktif,Rendah,L,Tidak,Tidak
3.33,69.0,10.4,Aktif,Tinggi,L,Ya,Tidak
2.78,75.9,4.6,Aktif,Menengah,L,Tidak,Tidak
3.13,96.8,7.6,Tidak Aktif,Rendah,L,Ya,Tidak
2.56,93.7,6.1,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.0,91.4,13.3,Tidak Aktif,Rendah,P,Tidak,Tidak
4.0,88.7,10.2,Aktif,Tinggi,P,Tidak,Ya
3.06,71.7,2.6,Aktif,Rendah,P,Ya,Tidak
3.09,78.8,9.8,Tidak Aktif,Menengah,P,Tidak,Tidak
3.15,71.7,4.6,Aktif,Menengah,L,Tidak,Tidak
3.14,73.3,4.4,Aktif,Menengah,L,Tidak,Tidak
2.6,89.2,6.0,Tidak Aktif,Menengah,P,Ya,Tidak
3.1,87.2,10.7,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.49,68.1,14.1,Tidak Aktif,Menengah,L,Tidak,Tidak
2.63,73.1,8.0,Tidak Aktif,Rendah,P,Ya,Tidak
3.31,81.6,13.3,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.83,65.1,7.3,Aktif,Rendah,P,Tidak,Tidak
4.0,71.5,17.0,Aktif,Rendah,L,Tidak,Tidak
,86.5,13.4,Aktif,Tinggi,P,Tidak,Tidak
2.45,78.3,8.1,Tidak Aktif,Rendah,P,Ya,Tidak
3.15,81.0,8.7,Aktif,Tinggi,P,Tidak,Tidak
2.92,79.8,13.2,Aktif,Menengah,L,Tidak,Tidak
3.14,72.0,7.4,Tidak Aktif,Menengah,P,Tidak,Ya
2.82,75.8,14.8,Aktif,Tinggi,L,Tidak,Tidak
3.18,73.3,8.2,Tidak Aktif,Rendah,L,Ya,Tidak
2.53,76.6,0.5,Aktif,Tinggi,P,Tidak,Tidak
3.02,60.5,3.9,Tidak Aktif,Menengah,L,Tidak,Tidak
3.27,60.0,5.0,Tidak Aktif,Rendah,L,Tidak,Tidak
3.52,94.1,10.4,Tidak Aktif,Menengah,P,Tidak,Tidak
2.89,97.5,11.2,Aktif,Menengah,L,Tidak,Tidak
3.48,,13.4,Tidak Aktif,Menengah,P,Ya,Tidak
3.74,84.6,13.0,Tidak Aktif,Rendah,L,Ya,Tidak
2.45,91.8,14.3,Tidak Aktif,Menengah,P,Tidak,Tidak
3.34,68.8,13.6,Tidak Aktif,Rendah,P,Tidak,Tidak
3.02,86.5,9.5,Tidak Aktif,Rendah,P,Tidak,Tidak
2.64,78.3,,Aktif,Tinggi,P,Tidak,Tidak
2.95,79.2,10.3,Aktif,Menengah,P,Tidak,Tidak
3.04,86.3,18.8,,Tinggi,L,Tidak,Tidak
2.75,75.4,11.0,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.62,91.0,4.1,Tidak Aktif,Menengah,P,Tidak,Tidak
2.76,87.4,6.7,Tidak Aktif,Menengah,L,Tidak,Tidak
2.93,90.7,10.1,Tidak Aktif,Rendah,P,Tidak,Tidak
3.69,91.8,10.6,,Rendah,L,Tidak,Tidak
2.85,80.6,4.7,Aktif,Menengah,L,Ya,Tidak
3.31,85.6,7.8,,Menengah,P,Ya,Tidak
2.85,88.5,11.2,Tidak Aktif,Menengah,L,Tidak,Tidak
2.24,92.9,3.7,Aktif,Rendah,L,Ya,Tidak
3.19,86.0,7.7,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.49,,11.1,Tidak Aktif,Menengah,P,Ya,Tidak
2.93,74.1,4.5,Tidak Aktif,Rendah,P,Tidak,Tidak
2.47,93.5,12.3,Tidak Aktif,Menengah,P,Tidak,Tidak
2.08,76.8,1.1,Aktif,Rendah,P,Ya,Tidak
2.57,65.5,6.6,Tidak Aktif,Menengah,L,Tidak,Tidak
3.37,74.6,13.8,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.26,,21.0,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.16,63.7,7.5,Tidak Aktif,Rendah,P,Tidak,Tidak
2.23,80.4,0.0,Tidak Aktif,Menengah,P,Tidak,Tidak
3.25,,19.5,Tidak Aktif,Menengah,P,Tidak,Tidak
3.42,85.3,16.6,Tidak Aktif,Tinggi,P,Ya,Tidak
,90.8,13.0,Tidak Aktif,Rendah,P,Ya,Tidak
2.97,100.0,9.4,Tidak Aktif,Rendah,L,Tidak,Tidak
3.4,75.7,10.3,Aktif,Rendah,L,Ya,Tidak
3.45,76.2,5.3,Aktif,Menengah,L,Ya,Tidak
2.69,71.5,12.7,Tidak Aktif,Rendah,L,Tidak,Tidak
3.16,82.1,9.3,Aktif,Rendah,P,Tidak,Tidak
2.73,100.0,3.8,Aktif,Tinggi,L,Tidak,Tidak
2.67,94.8,8.9,Tidak Aktif,Menengah,P,Tidak,Tidak
3.21,81.3,12.0,Aktif,Menengah,P,Tidak,Tidak
,87.3,12.2,Tidak Aktif,Menengah,P,Tidak,Tidak
3.24,66.2,11.0,Tidak Aktif,Menengah,P,Tidak,Tidak
2.83,84.0,10.2,,Rendah,L,Tidak,Tidak
,100.0,18.1,Tidak Aktif,Menengah,L,Tidak,Tidak
2.88,80.3,7.7,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.47,72.9,16.5,,Tinggi,P,Ya,Tidak
3.29,87.5,5.8,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.95,53.2,11.1,Tidak Aktif,Rendah,L,Ya,Tidak
2.69,76.8,7.9,Tidak Aktif,Menengah,P,Ya,Tidak
2.73,100.0,6.5,Tidak Aktif,Menengah,P,Tidak,Tidak
2.38,89.4,1.1,Tidak Aktif,Tinggi,P,Tidak,Ya
3.54,92.6,7.9,Aktif,Rendah,L,Ya,Tidak
3.02,100.0,16.8,Tidak Aktif,Menengah,P,Tidak,Ya
3.79,77.7,14.7,Tidak Aktif,Rendah,P,Tidak,Tidak
3.38,81.7,11.3,Aktif,Tinggi,P,Tidak,Tidak
2.76,90.7,10.4,Aktif,Rendah,P,Tidak,Tidak
,81.8,5.0,Tidak Aktif,Rendah,P,Ya,Tidak
3.06,89.0,5.6,Aktif,Tinggi,L,Tidak,Tidak
3.37,100.0,12.8,Aktif,Menengah,L,Tidak,Tidak
2.83,100.0,16.3,Tidak Aktif,Menengah,P,Tidak,Tidak
2.91,76.3,3.6,Aktif,Tinggi,L,Ya,Tidak
3.22,86.3,20.1,Tidak Aktif,Rendah,P,Tidak,Tidak
2.71,78.5,,Aktif,Rendah,L,Tidak,Tidak
2.57,82.8,,Tidak Aktif,Menengah,P,Tidak,Tidak
2.75,78.5,11.4,Tidak Aktif,Menengah,L,Tidak,Tidak
2.0,95.0,7.0,Aktif,Rendah,P,Ya,Tidak
4.0,66.0,11.5,Tidak Aktif,Rendah,P,Tidak,Tidak
3.19,78.4,4.2,Aktif,Menengah,P,Ya,Tidak
2.52,73.9,7.4,Tidak Aktif,Rendah,L,Tidak,Tidak
3.37,87.7,15.4,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.96,82.8,8.7,Aktif,Menengah,P,Tidak,Tidak
3.31,85.4,12.2,Tidak Aktif,Menengah,L,Tidak,Tidak
2.85,100.0,3.2,Tidak Aktif,Menengah,P,Tidak,Tidak
3.04,100.0,6.9,Tidak Aktif,Menengah,L,Tidak,Tidak
3.57,75.2,,Aktif,Tinggi,P,Tidak,Tidak
3.51,82.8,11.5,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.98,99.3,11.9,Aktif,Tinggi,L,Tidak,Tidak
3.95,97.3,11.5,Tidak Aktif,Menengah,P,Ya,Ya
2.16,79.1,12.6,Tidak Aktif,Rendah,P,Tidak,Tidak
2.64,92.5,11.7,Tidak Aktif,Menengah,L,Ya,Tidak
3.14,74.7,4.9,Aktif,Tinggi,P,Tidak,Tidak
2.68,88.9,7.0,Tidak Aktif,Rendah,P,Tidak,Tidak
2.53,69.5,9.0,Tidak Aktif,Menengah,P,Tidak,Tidak
3.34,77.6,15.8,Tidak Aktif,Menengah,L,Tidak,Tidak
2.55,91.2,,Aktif,Rendah,L,Tidak,Tidak
3.03,78.2,12.1,Aktif,Menengah,P,Tidak,Tidak
2.99,95.0,1.6,Aktif,Menengah,L,Tidak,Tidak
,,10.3,Tidak Aktif,Menengah,P,Tidak,Tidak
3.04,84.3,10.1,Tidak Aktif,Menengah,L,Tidak,Tidak
3.27,74.7,9.8,Aktif,Rendah,L,Ya,Tidak
3.73,72.7,12.4,Tidak Aktif,Tinggi,L,Ya,Tidak
3.71,77.9,16.9,Tidak Aktif,Menengah,L,Ya,Tidak
3.27,87.4,10.5,Aktif,Rendah,P,Tidak,Tidak
,88.5,0.0,Tidak Aktif,Tinggi,P,Ya,Tidak
3.22,96.8,8.8,Tidak Aktif,Menengah,P,Tidak,Tidak
2.55,87.4,10.2,,Rendah,L,Tidak,Tidak
3.16,100.0,6.0,Aktif,Rendah,L,Tidak,Tidak
3.66,100.0,12.6,Tidak Aktif,Menengah,L,Tidak,Tidak
3.82,99.0,14.5,Aktif,Rendah,P,Ya,Tidak
2.96,70.3,4.8,Tidak Aktif,Menengah,L,Tidak,Tidak
2.61,87.9,6.7,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.86,88.2,13.4,Tidak Aktif,Rendah,P,Tidak,Tidak
2.7,100.0,9.9,Aktif,Menengah,P,Tidak,Tidak
2.71,,6.7,Aktif,Menengah,P,Ya,Tidak
3.2,80.0,8.8,Tidak Aktif,Menengah,L,Tidak,Tidak
2.49,97.1,6.9,Aktif,Menengah,L,Tidak,Tidak
3.6,97.4,12.6,Aktif,Menengah,P,Tidak,Tidak
3.85,100.0,16.3,Tidak Aktif,Rendah,L,Ya,Ya
,67.8,9.6,Tidak Aktif,Rendah,P,Tidak,Tidak
3.43,84.5,15.2,Tidak Aktif,Rendah,L,Tidak,Tidak
3.74,79.6,10.3,Tidak Aktif,Rendah,L,Ya,Tidak
3.07,96.1,10.3,Tidak Aktif,Menengah,L,Ya,Ya
3.18,93.2,8.9,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.7,92.3,13.4,Tidak Aktif,Rendah,P,Tidak,Ya
2.53,52.6,1.8,Tidak Aktif,Menengah,L,Tidak,Tidak
2.5,97.8,14.0,Tidak Aktif,Menengah,L,Tidak,Tidak
2.5,84.3,0.2,,Menengah,P,Tidak,Ya
2.66,76.7,9.3,Tidak Aktif,Rendah,L,Ya,Tidak
3.3,90.5,12.8,Aktif,Menengah,L,Tidak,Tidak
2.46,100.0,,Tidak Aktif,Menengah,P,Tidak,Tidak
3.09,92.9,7.8,Tidak Aktif,Menengah,L,Tidak,Tidak
3.17,81.8,10.4,Tidak Aktif,Rendah,P,Ya,Tidak
3.13,67.0,10.3,,Menengah,P,Tidak,Tidak
3.41,97.2,18.0,Tidak Aktif,Rendah,L,Ya,Tidak
2.18,92.8,4.8,Tidak Aktif,Menengah,L,Tidak,Tidak
3.16,73.3,2.0,Tidak Aktif,Rendah,L,Ya,Tidak
,94.0,14.9,Aktif,Tinggi,L,Tidak,Tidak
3.64,100.0,15.4,Tidak Aktif,Rendah,L,Ya,Tidak
3.25,90.9,4.2,Tidak Aktif,Rendah,L,Ya,Tidak
3.5,76.5,12.5,Aktif,Tinggi,P,Ya,Ya
2.85,87.2,8.2,Aktif,Rendah,L,Tidak,Tidak
3.1,81.3,6.0,Aktif,Rendah,L,Tidak,Tidak
3.39,85.3,12.4,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.67,78.3,5.8,Aktif,Rendah,P,Ya,Tidak
3.19,92.0,15.4,Tidak Aktif,Menengah,P,Tidak,Tidak
2.85,92.8,8.9,Aktif,Menengah,P,Tidak,Tidak
3.95,91.7,11.5,Tidak Aktif,Tinggi,P,Tidak,Ya
3.97,78.9,10.2,Tidak Aktif,Menengah,L,Tidak,Tidak
3.36,86.2,10.5,Aktif,Tinggi,P,Tidak,Tidak
,93.9,6.9,Tidak Aktif,Menengah,L,Tidak,Tidak
3.55,79.6,18.4,,Rendah,L,Tidak,Tidak
3.08,84.3,18.1,Aktif,Menengah,P,Tidak,Tidak
2.84,98.1,9.3,Tidak Aktif,Rendah,L,Tidak,Tidak
3.92,97.9,16.6,Tidak Aktif,Rendah,P,Ya,Tidak
2.79,,0.0,Tidak Aktif,Rendah,P,Tidak,Tidak
2.5,100.0,7.6,Tidak Aktif,Rendah,L,Tidak,Tidak
3.42,78.8,8.8,Tidak Aktif,Menengah,P,Tidak,Tidak
2.84,87.5,18.0,Tidak Aktif,Rendah,L,Ya,Tidak
,78.2,0.0,Aktif,Tinggi,P,Ya,Tidak
3.2,72.0,10.5,Tidak Aktif,Menengah,P,Tidak,Tidak
2.33,83.0,0.0,Tidak Aktif,Rendah,L,Tidak,Tidak
2.7,,7.9,Tidak Aktif,Rendah,P,Tidak,Tidak
3.08,,12.9,Tidak Aktif,Menengah,L,Tidak,Tidak
4.0,100.0,10.6,Aktif,Rendah,P,Ya,Tidak
2.8,79.3,7.8,,Rendah,P,Ya,Tidak
2.94,67.6,12.1,Aktif,Rendah,L,Tidak,Tidak
2.6,95.5,0.0,Tidak Aktif,Rendah,L,Ya,Tidak
2.65,90.1,5.4,Aktif,Tinggi,P,Tidak,Tidak
2.95,86.6,7.2,Tidak Aktif,Rendah,P,Tidak,Tidak
2.78,64.6,18.0,Aktif,Rendah,L,Tidak,Tidak
3.51,,15.3,Tidak Aktif,Rendah,L,Ya,Tidak
3.45,76.4,15.8,Tidak Aktif,Menengah,L,Ya,Tidak
2.72,94.9,12.1,Aktif,Rendah,L,Tidak,Tidak
3.11,70.0,11.9,Tidak Aktif,Rendah,P,Ya,Tidak
3.24,74.7,7.6,Aktif,Tinggi,L,Tidak,Tidak
3.07,89.9,9.1,Tidak Aktif,Menengah,P,Ya,Tidak
3.18,86.6,11.5,Tidak Aktif,Rendah,P,Ya,Tidak
3.38,75.5,15.7,Tidak Aktif,Menengah,P,Tidak,Tidak
2.96,78.6,7.9,Aktif,Rendah,L,Ya,Tidak
2.85,87.1,7.4,Tidak Aktif,Menengah,L,Tidak,Tidak
3.05,85.3,14.1,Aktif,Menengah,P,Tidak,Tidak
3.62,86.8,8.8,Tidak Aktif,Rendah,L,Ya,Tidak
2.81,83.5,4.9,Tidak Aktif,Rendah,P,Tidak,Tidak
2.23,98.0,0.0,Tidak Aktif,Menengah,L,Tidak,Tidak
2.58,87.6,8.7,Aktif,Rendah,L,Tidak,Tidak
3.12,70.1,,Aktif,Menengah,L,Tidak,Tidak
3.06,82.9,8.7,Aktif,Menengah,L,Tidak,Tidak
2.54,100.0,0.0,Tidak Aktif,Rendah,P,Tidak,Tidak
,79.9,12.3,,Tinggi,P,Tidak,Tidak
2.64,70.0,7.8,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.43,55.3,4.9,Aktif,Rendah,L,Ya,Tidak
3.88,92.7,13.7,Aktif,Menengah,P,Ya,Tidak
3.62,80.1,8.2,Aktif,Menengah,P,Tidak,Tidak
2.53,92.3,10.0,Aktif,Rendah,P,Ya,Tidak
2.84,88.0,,Tidak Aktif,Rendah,L,Tidak,Tidak
3.26,77.5,8.2,Tidak Aktif,Rendah,P,Tidak,Tidak
3.25,82.1,6.6,Tidak Aktif,Menengah,L,Tidak,Tidak
2.83,97.5,5.6,Tidak Aktif,Menengah,P,Tidak,Tidak
3.33,,9.7,Tidak Aktif,Menengah,P,Tidak,Tidak
3.15,82.1,18.2,Aktif,Rendah,L,Tidak,Tidak
2.54,85.6,12.5,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.8,88.1,10.2,Tidak Aktif,Menengah,P,Tidak,Tidak
2.68,100.0,10.1,Tidak Aktif,Rendah,P,Tidak,Tidak
2.37,81.9,4.6,Tidak Aktif,Menengah,L,Tidak,Tidak
3.0,99.5,13.8,Aktif,Menengah,P,Tidak,Tidak
3.15,71.5,11.7,Tidak Aktif,Menengah,L,Tidak,Tidak
2.27,64.5,5.8,Aktif,Tinggi,L,Tidak,Tidak
2.44,78.9,5.3,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.89,83.1,9.9,Tidak Aktif,Tinggi,P,Ya,Tidak
2.72,62.9,5.8,Aktif,Menengah,P,Tidak,Tidak
2.73,85.0,8.3,Aktif,Rendah,P,Tidak,Tidak
3.97,84.8,12.4,Tidak Aktif,Menengah,L,Ya,Tidak
2.94,96.2,4.7,Tidak Aktif,Rendah,L,Ya,Ya
3.12,71.4,7.9,Tidak Aktif,Menengah,L,Tidak,Tidak
2.68,78.1,11.2,Tidak Aktif,Menengah,P,Tidak,Tidak
,72.7,18.0,Aktif,Rendah,L,Tidak,Tidak
3.27,69.6,7.8,Tidak Aktif,Menengah,P,Tidak,Tidak
3.72,89.6,16.1,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.41,73.6,10.4,Aktif,Menengah,L,Tidak,Tidak
2.41,88.0,7.3,Tidak Aktif,Menengah,L,Tidak,Tidak
2.95,77.2,11.5,Aktif,Menengah,L,Tidak,Tidak
3.58,90.9,,Tidak Aktif,Rendah,P,Tidak,Tidak
2.83,84.5,,Aktif,Rendah,L,Tidak,Tidak
2.46,94.1,9.7,Aktif,Menengah,L,Tidak,Tidak
,85.2,9.6,Aktif,Rendah,L,Ya,Tidak
2.31,84.2,3.8,Aktif,Menengah,P,Tidak,Tidak
3.32,89.8,14.5,Tidak Aktif,Menengah,L,Tidak,Tidak
2.71,60.1,8.4,Tidak Aktif,Rendah,L,Ya,Tidak
3.05,79.7,13.0,Tidak Aktif,Menengah,L,Tidak,Tidak
2.8,88.3,7.8,Aktif,Rendah,L,Ya,Tidak
3.37,98.2,16.2,Aktif,Menengah,L,Tidak,Tidak
2.97,100.0,0.0,Aktif,Tinggi,L,Tidak,Tidak
3.49,82.6,5.7,Tidak Aktif,Rendah,P,Tidak,Tidak
3.04,84.2,10.9,Aktif,Menengah,P,Tidak,Tidak
2.45,100.0,2.1,Aktif,Rendah,P,Tidak,Tidak
3.38,78.7,10.7,Tidak Aktif,Menengah,L,Tidak,Tidak
3.2,78.7,10.7,Aktif,Tinggi,P,Tidak,Tidak
3.2,66.7,8.1,Tidak Aktif,Rendah,L,Tidak,Tidak
3.21,85.6,10.7,Aktif,Menengah,P,Tidak,Tidak
3.32,99.3,6.7,Aktif,Tinggi,P,Tidak,Tidak
2.74,87.4,5.2,Tidak Aktif,Rendah,P,Tidak,Tidak
2.66,,9.2,Tidak Aktif,Menengah,P,Tidak,Tidak
3.17,84.2,5.6,Aktif,Menengah,L,Tidak,Tidak
3.54,84.6,6.7,Tidak Aktif,Rendah,L,Ya,Tidak
3.62,66.7,4.9,Tidak Aktif,Rendah,L,Tidak,Tidak
3.39,69.5,13.7,Tidak Aktif,Rendah,P,Tidak,Tidak
2.59,95.5,11.1,Aktif,Tinggi,L,Tidak,Tidak
3.7,65.1,17.1,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.09,85.7,9.3,Aktif,Menengah,P,Tidak,Tidak
3.29,79.6,10.3,Tidak Aktif,Menengah,L,Ya,Tidak
2.85,85.6,12.3,Tidak Aktif,Menengah,P,Tidak,Tidak
3.54,100.0,8.5,Tidak Aktif,Menengah,L,Tidak,Tidak
3.14,93.5,6.4,Tidak Aktif,Rendah,P,Tidak,Tidak
3.39,99.4,9.9,Aktif,Tinggi,P,Tidak,Tidak
2.7,96.3,4.5,Tidak Aktif,Tinggi,L,Tidak,Tidak
